gene_name	uniprot_id	length	Hk
galM	P0A9C3	346	0
ybjO	P0AAZ0	162	0
ychF	P0ABU2	363	1
glmU	P0ACC7	456	1
hyaB	P0ACD8	597	0
hupA	P0ACF0	90	0
soxR	P0ACS2	154	0
ampG	P0AE16	491	0
entC	P0AEJ2	391	0
fre	P0AEN1	233	1
yjcH	P0AF54	104	0
mepS	P0AFV4	188	0
serB	P0AGB0	322	0
iscR	P0AGK8	162	0
mepA	P0C0T5	274	0
uidB	P0CE44	457	0
crfC	P0DM85	742	0
argL	P0DSE4	31	0
ytcB	P0DV20	18	0
tdk	P23331	205	1
trkG	P23849	485	0
hipB	P23873	88	0
accC	P24182	449	1
mcrA	P24200	277	0
galS	P25748	346	0
gspO	P25960	225	0
plsX	P27247	356	0
argK	P27254	331	0
rodZ	P27434	337	0
holC	P28905	147	1
yhhH	P28911	127	0
ydeJ	P31131	172	0
hchA	P31658	283	0
yihG	P32129	310	0
yiiG	P32151	351	0
fdhD	P32177	277	0
lldD	P33232	396	0
nuoL	P33607	613	0
yejO	P33924	863	0
napH	P33934	287	0
gspM	P36678	153	0
hrpB	P37024	809	0
envC	P37690	419	0
gltI	P37902	302	0
yjgX	P39349	119	0
yjgZ	P39351	109	0
yjiS	P39390	54	0
ygiL	P39834	183	0
lpxH	P43341	240	1
kdsD	P45395	328	0
ygfI	P52044	298	0
glcE	P52073	350	0
guaC	P60560	347	0
ispG	P62620	372	0
gmhA	P63224	192	0
gadC	P63235	511	0
yhbS	P63417	167	1
ydjM	P64481	196	0
ygfM	P64557	259	1
cutC	P67826	248	1
malK	P68187	371	0
cmtA	P69826	462	0
yagP	P75684	136	0
ybfF	P75736	254	0
fiu	P75780	760	0
dhaR	P76016	639	0
yncH	P76118	70	0
dosP	P76129	799	0
ynfB	P76170	113	0
mepH	P76190	271	0
ynjA	P76222	182	1
yeaH	P76235	427	0
dgcP	P76245	341	0
mdtA	P76397	415	0
yfbO	P76485	140	0
ykfB	P77162	155	0
yfcG	P77526	215	0
ypdE	P77585	345	0
allB	P77671	453	0
prpR	P77743	528	0
yqjH	Q46871	254	0
ygdT	A0A385XJL2	48	0
ykfM	A5A605	159	0
carB	P00968	1073	0
guaA	P04079	525	0
alkB	P05050	216	0
btuD	P06611	249	0
gor	P06715	450	1
dicC	P06965	76	0
hisB	P06987	355	0
fimF	P08189	176	0
folC	P08192	422	0
argA	P0A6C5	443	0
atpC	P0A6E6	139	1
def	P0A6K3	169	1
infB	P0A705	890	1
purC	P0A7D7	237	0
rpsB	P0A7V0	241	1
rpsD	P0A7V8	206	0
sfsA	P0A823	234	0
talB	P0A870	317	0
ycgN	P0A8L5	153	0
xerD	P0A8P8	298	0
pgpB	P0A924	254	0
ansA	P0A962	338	0
fbaB	P0A991	350	0
epd	P0A9B6	339	0
rng	P0A9J0	489	0
proY	P0AAE2	457	0
fabD	P0AAI9	309	1
ybaA	P0AAQ6	117	1
pgsA	P0ABF8	182	1
cydB	P0ABK2	379	1
frlB	P0AC00	340	0
pdhR	P0ACL9	254	0
artQ	P0AE34	238	0
degS	P0AEE3	355	0
fdnI	P0AEK7	217	0
fimZ	P0AEL8	210	0
gudD	P0AES2	446	0
malE	P0AEX9	396	0
minD	P0AEZ3	270	1
ybhR	P0AFP9	368	0
yfbS	P0AFU2	610	0
emtA	P0C960	203	0
insD2	P0CF54	301	0
insF3	P0CF81	288	0
insL2	P0CF92	370	0
ykgV	P0DPM9	74	0
racC	P15033	91	0
fhuE	P16869	729	0
chbC	P17334	452	0
rnr	P21499	813	0
ispA	P22939	299	1
serC	P23721	362	0
htrL	P25666	285	0
waaS	P27126	311	0
trmO	P28634	235	0
otsA	P31677	474	0
pqqL	P31828	931	0
yehS	P33355	156	0
treR	P36673	315	0
yegD	P36928	450	0
hybB	P37180	392	0
dppF	P37313	334	0
yiaN	P37675	425	0
waaF	P37692	348	0
glf	P37747	367	0
yeaD	P39173	294	0
mscM	P39285	1107	0
queG	P39288	379	0
fhuF	P39405	262	0
ygjJ	P42591	356	0
agaC	P42910	267	0
yraI	P42914	231	0
hofO	P45751	146	0
mhpE	P51020	337	0
yfjI	P52124	469	0
emrY	P52600	512	0
adiC	P60061	445	0
digH	P64426	439	0
yqfE	P64562	76	0
yqfA	P67153	219	0
yheU	P67624	72	0
hicB	P67697	138	1
ybhJ	P75764	753	0
ydcS	P76108	381	0
mnaT	P76112	172	1
ydeM	P76134	385	0
lsrB	P76142	340	0
ydhK	P76186	670	0
ydiL	P76196	118	0
pdeD	P76261	532	0
yecR	P76308	107	0
yegT	P76417	425	0
rcnA	P76425	274	0
ygeH	P76639	458	0
ybdN	P77216	406	0
ddpC	P77463	298	1
ygcP	Q46906	191	0
cbl	Q47083	316	0
lacY	P02920	417	0
tonB	P02929	239	1
uvrD	P03018	720	0
xseA	P04994	456	0
btuC	P06609	326	0
creD	P08369	450	0
dicB	P09557	62	0
argG	P0A6E4	447	0
uxaB	P0A6L7	483	0
rpoA	P0A7Z4	329	0
uvrC	P0A8G0	610	0
yfbU	P0A8W8	164	0
pal	P0A912	173	0
cspE	P0A972	69	0
trxB	P0A9P4	321	0
idnO	P0A9P9	254	0
cspC	P0A9Y6	69	0
napG	P0AAL3	231	0
ydhY	P0AAL6	208	0
yajD	P0AAQ2	115	0
pxpB	P0AAV4	218	0
atpG	P0ABA6	287	0
mhpB	P0ABR9	314	0
yibF	P0ACA1	202	0
tdcA	P0ACQ7	312	0
yfeR	P0ACR7	308	0
viaA	P0ADN0	483	0
bcp	P0AE52	156	0
cedA	P0AE60	80	0
citT	P0AE74	487	0
yjiG	P0AEH8	153	0
narJ	P0AF26	236	0
nlpI	P0AFB1	294	0
aceE	P0AFG8	887	0
oppB	P0AFH2	306	0
rplU	P0AG48	103	0
sbcD	P0AG76	400	0
ugpB	P0AG80	438	0
idlP	P0DPC6	27	0
ymiC	P0DPO1	31	0
yncP	P0DSF2	22	0
evgL	P0DSF9	9	0
ysaE	P0DSH1	23	0
rpoS	P13445	330	0
mngR	P13669	240	0
betI	P17446	195	0
rstB	P18392	433	1
lpxM	P24205	323	0
hflX	P25519	426	0
fepE	P26266	377	0
artJ	P30860	243	0
thiB	P31550	327	0
frwD	P32676	113	0
nrfE	P32710	552	0
dacD	P33013	388	0
ccmF	P33927	647	0
cdaR	P37047	385	0
nudK	P37128	191	0
allK	P37306	297	1
bcsG	P37659	559	0
yiaV	P37683	378	0
uspF	P37903	144	0
ydaE	P38394	56	0
ygdG	P38506	251	0
yjfZ	P39308	264	0
bdcA	P39333	237	0
nanS	P39370	326	0
ygjI	P42590	477	0
gspJ	P45761	195	0
yedJ	P46144	231	0
mlc	P50456	406	0
puuE	P50457	421	0
yaiL	P51024	179	0
fsr	P52067	406	0
csgD	P52106	216	0
ldhA	P52643	329	0
ydiH	P64476	62	0
yqgC	P64570	71	0
yhaV	P64594	154	0
yhcO	P64616	90	1
rsmI	P67087	286	0
rcsF	P69411	134	0
ybhI	P75763	477	0
paaF	P76082	255	0
paaX	P76086	316	1
ynbB	P76091	298	0
yddJ	P76122	111	0
yedL	P76319	159	0
pdeN	P76446	518	0
yfaZ	P76471	180	0
lsrK	P77432	530	0
yphE	P77509	503	0
mhpD	P77608	269	0
yahI	P77624	316	0
tfaD	P77699	187	0
oppF	P77737	334	0
ompN	P77747	377	0
yahH	Q2EEQ3	106	1
ysaB	Q2M7M3	99	0
yafJ	Q47147	255	0
yciY	A5A613	57	0
pabA	P00903	187	0
ygeA	P03813	230	0
rbsD	P04982	139	0
ptrA	P05458	962	0
pfkB	P06999	309	0
ydiB	P0A6D5	288	0
der	P0A6P5	490	1
kdgT	P0A712	327	0
ribB	P0A7J0	217	1
smpB	P0A832	160	0
surE	P0A840	253	0
yqgF	P0A8I1	138	1
bamE	P0A937	113	0
dapD	P0A9D8	274	1
accD	P0A9Q5	304	0
ybhF	P0A9U1	578	0
cspA	P0A9X9	70	0
yghB	P0AA60	219	0
ssuB	P0AAI1	255	0
flgC	P0ABX2	134	0
gmd	P0AC88	373	0
marA	P0ACH5	127	1
oxyR	P0ACQ4	305	0
btsS	P0AD14	561	0
mrdA	P0AD65	633	1
ilvM	P0ADG1	87	0
yidQ	P0ADM4	110	0
yigB	P0ADP0	238	0
ygiB	P0ADT2	223	0
ppiD	P0ADY1	623	0
rplP	P0ADY7	136	0
ampE	P0AE14	284	0
cysW	P0AEB0	291	1
galU	P0AEP3	302	1
gyrB	P0AES6	804	0
narV	P0AF32	226	0
potI	P0AFL1	281	0
yadH	P0AFN6	256	0
tcyL	P0AFT2	222	0
rplF	P0AG55	177	1
ssb	P0AGE0	178	0
ymiA	P0CB62	46	0
insH6	P0CE53	326	0
ytiC	P0DPC4	33	0
yldA	P0DPN4	29	0
yqiD	P0DPP7	56	0
yecV	P0DSF6	14	0
ugpA	P10905	295	0
narH	P11349	512	0
helD	P15038	684	0
hycF	P16432	180	1
cysP	P16700	338	0
agp	P19926	413	0
mnmA	P25745	368	1
cydD	P29018	588	1
thiE	P30137	211	0
yidZ	P31463	319	0
yibG	P32106	153	1
yjbI	P32690	442	0
mdoG	P33136	511	0
yjfC	P33222	387	0
yohD	P33366	192	0
ppdA	P33554	156	0
gatB	P37188	94	0
yhjA	P37197	465	0
menH	P37355	252	0
gadX	P37639	274	0
rfbA	P37744	293	0
dgcE	P38097	1105	0
nfsB	P38489	217	0
degQ	P39099	455	1
garD	P39829	523	0
ygjQ	P42598	230	1
yhfT	P45546	434	0
ybhC	P46130	427	0
yrhA	P46856	138	0
ygcG	P55140	290	0
hisG	P60757	299	0
grxA	P68688	85	0
cmtB	P69824	147	0
ybjP	P75818	171	1
efeU	P75901	276	0
puuP	P76037	461	0
ydcZ	P76111	149	1
yddH	P76121	189	0
tfaQ	P76155	191	0
nimT	P76242	393	1
yeeL	P76349	234	0
yegX	P76421	272	0
ypfG	P76559	347	0
lsrA	P77257	511	0
tfaS	P77326	114	0
sufC	P77499	248	0
stfQ	P77515	320	0
ypfN	Q2EET2	66	0
yghU	Q46845	288	0
yqeH	Q46941	210	0
allF	Q47208	555	0
ykfC	Q47688	381	0
glyS	P00961	689	1
galR	P03024	343	0
cdh	P06282	251	0
mutH	P06722	229	0
ushA	P07024	550	0
tyrR	P07604	513	0
purK	P09029	355	0
pflB	P09373	760	0
leuC	P0A6A6	466	0
bioD2	P0A6E9	231	0
mraY	P0A6W3	360	0
hscA	P0A6Z1	616	1
purA	P0A7D4	432	0
prfA	P0A7I0	360	0
ybaB	P0A8B5	109	0
yidD	P0A8C8	85	0
clpS	P0A8Q6	106	1
garP	P0AA80	444	0
bfr	P0ABD3	158	0
cyoD	P0ABJ6	109	1
crp	P0ACJ8	210	0
agaR	P0ACK2	269	0
ymjA	P0ACV8	81	0
ydiE	P0ACX9	63	0
yihD	P0ADP9	89	0
dppC	P0AEG1	300	0
fabI	P0AEK4	262	1
fepB	P0AEL6	318	1
yjeI	P0AF70	117	0
potC	P0AFK6	264	1
insF1	P0CF79	288	0
insF5	P0CF83	288	0
ybgU	P0DPN5	35	0
ynfU	P0DSF4	56	0
envY	P10805	253	0
yhaB	P11865	179	0
argS	P11875	577	1
phnG	P16685	150	0
narZ	P19319	1246	0
fhlA	P19323	692	0
mukB	P22523	1486	1
ptrB	P24555	686	0
frmA	P25437	369	0
pdxI	P25906	286	0
dinF	P28303	459	0
prfH	P28369	166	0
ycgB	P29013	510	0
moaD	P30748	81	0
csqR	P32144	261	0
yjbH	P32689	698	0
pspG	P32696	80	1
yjcB	P32700	93	0
nupX	P33021	416	1
setB	P33026	393	0
yebE	P33218	219	1
yehA	P33340	344	0
recX	P33596	166	0
ybfG	P37003	216	0
rbbA	P37624	911	0
mpl	P37773	457	0
uspG	P39177	142	0
lplT	P39196	397	0
prmB	P39199	310	0
yjjW	P39409	287	0
yjjJ	P39410	443	0
ydfG	P39831	248	0
ygbE	P46141	107	0
yecM	P52007	188	0
cobC	P52086	203	0
rlmD	P55135	433	0
insB4	P57998	167	1
mdh	P61889	312	0
ypjD	P64432	263	0
ydfZ	P64463	67	0
yoaC	P64490	99	0
mlaD	P64604	183	0
yfcD	P65556	180	0
diaA	P66817	196	0
yaiX	P75697	230	0
dtpD	P75742	493	0
ybiY	P75794	299	0
gsiA	P75796	623	0
elfA	P75855	179	0
rutG	P75892	442	0
ydeT	P76137	382	0
yneL	P76138	59	0
ydhJ	P76185	285	0
yfbR	P76491	199	0
mlaA	P76506	251	0
yffL	P76543	213	0
yahF	P77187	515	1
ybcL	P77368	183	0
glsA1	P77454	310	0
ynfL	P77559	297	0
flxA	P77609	110	0
hcaD	P77650	400	0
ydcR	P77730	468	0
ykgO	Q2EEQ2	46	0
yibT	Q2M7R5	69	0
ybcN	Q47269	151	1
thrA	P00561	820	0
lepB	P00803	324	1
ampC	P00811	377	0
aroF	P00888	356	0
fhuB	P06972	660	0
poxB	P07003	572	0
icd	P08200	416	0
araD	P08203	231	0
phoR	P08400	431	0
modC	P09833	352	0
glpK	P0A6F3	502	0
nanA	P0A6L4	297	0
lpxA	P0A722	262	1
rbfA	P0A7G2	133	0
rnc	P0A7Y0	226	1
yacG	P0A8H8	65	0
syd	P0A8U0	181	0
ybgC	P0A8Z3	134	1
glnA	P0A9C5	469	0
glpX	P0A9C9	336	0
araC	P0A9E0	292	0
btuR	P0A9H5	196	1
sdaC	P0AAD6	429	0
mglA	P0AAG8	506	0
ybaK	P0AAR3	159	0
sspA	P0ACA3	212	0
hybC	P0ACE0	567	0
yfcZ	P0AD33	94	0
yfeC	P0AD37	114	0
ftsI	P0AD68	588	1
fimE	P0ADH7	198	0
yiaF	P0ADK0	236	0
lptC	P0ADV9	191	0
cobU	P0AE76	181	0
dcm	P0AED9	472	1
fdoI	P0AEL0	211	0
tcyJ	P0AEM9	266	0
pbpG	P0AFI5	310	0
ydiK	P0AFS7	370	0
sspB	P0AFZ3	165	0
relA	P0AG20	744	0
secD	P0AG90	615	1
ratA	P0AGL5	158	1
yljB	P0DSE8	24	0
nadB	P10902	540	0
argC	P11446	334	1
bioA	P12995	429	0
bioH	P13001	256	0
gutM	P15081	119	0
phnK	P16678	252	0
phnF	P16684	241	0
glnD	P27249	890	1
yigG	P27843	126	0
asmA	P28249	617	0
adiA	P28629	755	0
ydfB	P29009	42	0
ydfD	P29010	63	0
metN	P30750	343	0
nohA	P31061	189	0
yedD	P31063	137	0
wcaI	P32057	407	0
pdeC	P32701	528	0
sbmC	P33012	157	1
sgrR	P33595	551	0
rluD	P33643	326	1
yhhM	P37615	119	1
lyx	P37677	498	0
sgbE	P37680	231	0
eamB	P38101	195	0
solA	P40874	372	0
ycaL	P43674	254	0
yhcG	P45423	375	0
yfaH	P45505	68	0
cpoB	P45955	263	0
yfjY	P52140	160	0
pgl	P52697	331	0
ypjI	P58095	90	0
lolA	P61316	203	1
fldA	P61949	176	0
gadW	P63201	242	0
ptsN	P69829	163	1
ykfA	P75678	287	0
macA	P75830	371	0
elfD	P75856	233	0
ompG	P76045	301	0
ydaG	P76061	44	0
yneE	P76146	304	0
yagJ	P77169	243	0
hscC	P77319	556	0
pdeR	P77334	661	0
glxK	P77364	381	0
mhpR	P77569	277	0
yghT	Q46844	230	0
casD	Q46898	224	0
casA	Q46901	502	0
hcaF	Q47140	172	1
ninE	Q47270	56	0
tauC	Q47539	275	0
yfeK	Q47702	124	0
truD	Q57261	349	0
ypaB	A0A385XJK5	47	0
ndh	P00393	434	0
trpC	P00909	453	0
thrC	P00934	428	0
dnaA	P03004	467	1
ruvC	P0A814	173	1
darP	P0A8X0	183	0
ybaQ	P0A9T6	113	1
fdoH	P0AAJ5	300	0
ybaV	P0AAR8	123	1
rsfS	P0AAT6	105	0
ybfB	P0AAU5	108	0
apbE	P0AB85	351	0
atpF	P0ABA0	156	1
fldB	P0ABY4	173	0
fliQ	P0AC07	89	0
nirC	P0AC26	268	0
sdhA	P0AC41	588	0
waaA	P0AC75	425	1
dnaB	P0ACB0	471	1
lldR	P0ACL7	258	0
rbsR	P0ACQ0	330	0
yebS	P0AD03	427	0
ypeB	P0AD40	72	0
edd	P0ADF6	603	0
yidG	P0ADL6	120	0
hisM	P0AEU3	238	0
yijD	P0AF40	119	0
potB	P0AFK4	275	0
proX	P0AFM2	330	0
pspA	P0AFM6	222	0
rsd	P0AFX4	158	1
secG	P0AG99	110	0
insA1	P0CF07	91	0
insA6	P0CF12	91	0
yghJ	P0CK95	1520	0
ynaL	P0DPO3	57	0
gndA	P0DQD7	54	0
ymiD	P0DSF0	42	0
yggC	P11664	237	0
argO	P11667	211	1
udp	P12758	253	0
gcd	P15877	796	0
cysH	P17854	244	0
hyaF	P19932	285	0
murI	P22634	285	1
yifB	P22787	506	0
hyfB	P23482	672	0
malS	P25718	676	0
ychE	P25743	215	0
pabC	P28305	269	0
holB	P28631	334	1
psuK	P30235	313	0
ydcD	P31991	160	0
mokC	P33236	69	0
arsR	P37309	117	0
yhjE	P37643	440	0
yhjV	P37660	423	0
wbbI	P37749	330	0
ulaA	P39301	465	0
ytfQ	P39325	318	0
yjhG	P39358	655	0
yjiE	P39376	303	0
gspG	P41442	145	0
nudE	P45799	186	0
ybaE	P46890	566	0
glrK	P52101	475	0
ygbI	P52598	255	0
yeiH	P62723	349	0
nfuA	P63020	191	0
yfgG	P64545	63	0
yggT	P64564	188	0
yqjI	P64588	207	0
yhaJ	P67660	298	0
glvB	P69789	161	0
nanC	P69856	238	0
chiP	P75733	468	0
ybfP	P75737	164	0
abgB	P76052	481	0
ynbD	P76093	430	0
sad	P76149	462	0
yeaE	P76234	284	0
yecT	P76296	162	0
yfcQ	P76500	162	0
yffN	P76545	122	0
rclA	P77212	441	0
eutD	P77218	338	0
ybeU	P77427	235	0
ycjS	P77503	351	0
sufB	P77522	495	0
ydhQ	P77552	418	0
sufD	P77689	423	0
yajO	P77735	324	0
ssuE	P80644	191	0
pbl	Q46790	158	0
mocA	Q46810	192	0
casE	Q46897	199	0
csdA	Q46925	401	0
ykfH	Q9XB42	73	0
iroK	U3PVA8	21	0
asnA	P00963	330	0
fumC	P05042	467	0
fepA	P05825	746	0
btuE	P06610	183	1
deoA	P07650	440	0
dsdX	P08555	445	0
dnaJ	P08622	376	0
tmk	P0A720	213	1
nadD	P0A752	213	0
thyA	P0A884	264	1
ymdB	P0A8D6	177	0
yihX	P0A8Y3	199	0
citE	P0A9I1	302	0
trxA	P0AA25	109	0
yaeQ	P0AA97	181	0
ubiD	P0AAB4	497	0
dppD	P0AAG0	327	0
arsC	P0AB96	141	0
atpH	P0ABA4	177	0
accA	P0ABD5	319	1
hinT	P0ACE7	119	0
uidR	P0ACT6	196	1
yebG	P0ACY9	96	1
pheM	P0AD74	14	0
suhB	P0ADG4	267	1
yicN	P0ADL3	150	0
ahpC	P0AE08	187	0
cpdA	P0AEW4	275	0
zapB	P0AF36	81	1
ribF	P0AG40	313	1
yicG	P0AGM2	205	0
ibpA	P0C054	137	0
kbaZ	P0C8K0	426	0
ypeD	P0DUW4	29	0
bioF	P12998	384	0
rhsB	P16917	1411	0
mreC	P16926	367	1
dmsB	P18776	205	0
lpxD	P21645	341	0
fliS	P26608	136	0
emrA	P27303	390	0
thiG	P30139	256	0
ybiB	P30177	320	0
sotB	P31122	396	0
yieP	P31475	230	0
otsB	P31678	266	0
gmm	P32056	159	0
alsA	P32721	510	0
rihB	P33022	313	0
alpA	P33997	70	0
ppdD	P36647	146	0
yhdN	P36677	122	0
yacH	P36682	617	0
yagB	P37008	116	0
acpT	P37623	195	0
pdeH	P37646	255	0
yiaM	P37674	157	0
puuB	P37906	426	0
sgcE	P39362	210	0
adhP	P39451	336	0
ybaL	P39830	558	0
ycbF	P40876	236	0
flgN	P43533	138	0
yhbQ	P45472	100	1
tusC	P45531	119	1
tilS	P52097	432	1
tsgA	P60778	393	0
rplV	P61175	110	0
amiC	P63883	417	0
yobF	P64508	47	0
yeeT	P64521	73	0
yqfB	P67603	103	1
pgaA	P69434	807	0
fucI	P69922	591	0
ybhK	P75767	302	0
ybiU	P75791	421	0
ybjJ	P75810	402	0
ybjT	P75822	476	0
ycgJ	P76001	122	0
paaA	P76077	309	0
hicA	P76106	58	0
ydjO	P76210	267	0
nimR	P76241	273	0
dmlA	P76251	361	0
yedM	P76322	116	0
yeeO	P76352	547	0
wzzB	P76372	326	0
atoD	P76458	220	0
atoB	P76461	394	0
yphB	P76584	290	0
ydfJ	P77228	427	0
eutJ	P77277	278	0
ygaV	P77295	99	0
abgA	P77357	436	0
ypdC	P77396	285	0
eutE	P77445	467	0
ecpD	P77694	547	0
fadM	P77712	132	0
bglA	Q46829	479	0
casC	Q46899	363	0
yrbN	C1P618	26	0
tsr	P02942	551	0
sdhB	P07014	238	0
ygdB	P08370	135	0
murB	P08373	342	0
hslU	P0A6H5	443	0
nadK	P0A7B3	292	0
recO	P0A7H3	242	0
rplJ	P0A7J3	165	1
rpmJ	P0A7Q6	38	0
tusA	P0A890	81	0
yeeN	P0A8A2	238	0
ppsR	P0A8A4	277	0
rpoB	P0A8V2	1342	1
yacC	P0AA95	115	1
hybE	P0AAN1	162	0
yaiA	P0AAN5	63	0
yaiZ	P0AAQ0	70	0
ybjH	P0AAY4	94	0
cysK	P0ABK5	323	0
hcaC	P0ABW0	106	1
folB	P0AC16	122	0
erpA	P0ACC3	114	0
hha	P0ACE3	72	0
ydcA	P0ACW4	57	0
entB	P0ADI4	285	0
yqaE	P0AE42	52	0
hycH	P0AEV7	136	0
murJ	P0AF16	511	1
nuoA	P0AFC3	147	0
pmbA	P0AFK0	450	0
relB	P0C079	79	0
osmC	P0C0L2	143	0
rseD	P0DPC7	51	0
ynaM	P0DPO4	37	0
katG	P13029	726	0
murD	P14900	438	1
srmB	P21507	444	0
acpH	P21515	193	0
pckA	P22259	540	0
oppA	P23843	543	0
radA	P24554	460	0
endA	P25736	235	0
waaP	P25741	265	0
fliF	P25798	552	0
ubiC	P26602	165	0
