AT3G53690	Q9LFF2
AT4G16100	Q940I8
AT4G08240	Q9SUF6
AT4G04920	F4JGZ1
AT3G61710	Q9M367
AT3G58050	A0A1I9LLC5
AT3G51640	F4J4G9
AT3G32940	Q0WVW4
AT3G30160	F4J5F2
AT3G29330	Q6E238
AT3G28670	Q944S5
AT3G28430	Q8W4P9
AT3G27930	A0A384LHR4
AT3G18380	Q8RWJ7
AT3G12590	A0A384L797
AT3G12010	F4J8L1
AT3G05680	F4J8G7
AT3G01200	Q9MAC9
AT2G40316	Q58FY5
AT1G67960	F4HVJ3
AT1G54650	Q84WB6
AT1G53640	F4HRK8
AT1G50710	Q8GYM3
AT1G48110	F4HWS5
AT1G36990	Q9LP92
AT1G16650	B3DNN7
AT1G04910	Q8W486
AT5G26760	F4K1B1
AT4G26410	Q84K90
AT4G17410	F4JP52
AT4G15840	A0A1P8B6W9
AT3G47850	A0A384KGZ1
AT2G47760	O82244
AT2G44090	A0A384KCN1
AT2G42700	F4IP69
AT2G41960	P93750
AT2G40980	Q9SLM4
AT2G32910	F4IUS3
AT2G24960	Q9SK37
AT2G22720	Q9ZQ42
AT2G20790	Q8W0Z6
AT2G18770	A0A178VQQ0
AT1G61670	Q8GYD0
AT1G11060	F4I7C7
AT1G04390	P93820
AT1G21480	A0A654EDE0
AT4G38040	Q9SZK4
AT1G67410	Q08AA5
AT2G38960	Q7X9I4
AT4G31150	Q8L9R0
AT5G56290	Q9FMA3
AT1G49040	Q8RXA7
AT2G38440	Q5XPJ9
AT5G41480	F4JYE9
AT2G21470	Q9SJT1
AT3G33520	Q8LGE3
AT3G53090	Q9SCQ2
AT1G73100	Q9C5P4
AT5G27840	O82734
AT1G22020	Q9LM59
AT5G55260	P48528
AT3G10390	Q9CAE3
AT1G80350	Q9SEX2
AT5G63870	Q9FN02
AT5G45050	Q9FL92
AT3G01910	Q9S850
AT1G15690	P31414
AT4G33650	Q8S944
AT1G59610	Q9LQ55
AT4G00420	Q84JN8
AT5G49060	Q9FH28
AT2G25560	Q9SLA7
AT1G79350	F4IF36
AT1G20670	Q9LM88
AT3G21290	A0A384KH30
AT2G39750	O22285
AT1G68720	Q9S7I0
AT5G46210	Q8LGH4
AT5G51430	Q9FGN0
AT4G34450	Q0WW26
AT1G56590	F4I562
AT5G15440	Q9LF38
AT5G53010	A0A1P8BEZ2
AT1G20760	Q9LM78
AT1G21630	A0A178WKM1
AT4G00590	O65268
AT2G23140	O22193
AT3G60350	Q9M224
AT5G13390	Q9LYR7
AT1G70570	A0A178W1F9
AT2G04740	Q9SJ85
AT2G17390	Q29Q26
AT4G33090	Q8VZH2
AT1G13560	O82567
AT1G55620	Q8RXR2
AT5G05920	Q9FI94
AT5G11490	Q9LDK9
AT1G55320	Q84P17
AT2G27600	Q9ZNT0
AT1G77140	O49048
AT4G09520	F4JK17
AT5G01980	Q9LZN3
AT5G01960	A0A654FXQ0
AT3G16090	Q9LW77
AT1G68070	Q9C9X1
AT4G16510	Q940I4
AT4G00170	Q84WW5
AT5G50870	Q9FI61
AT4G27960	P35132
AT5G59300	Q42540
AT5G19720	F4K2L4
AT2G38950	Q8L7T6
AT1G32400	Q9C5W7
AT3G25580	Q9LSU4
AT1G31020	Q93VQ9
AT3G16640	P31265
AT3G13445	P28147
AT4G31200	O49570
AT1G51450	Q9C8J7
AT5G21010	Q1EBV6
AT5G27720	F4K4E3
AT2G37160	A0A178VX86
AT3G01340	Q9SRI1
AT2G32760	Q8S9J3
AT5G13050	Q8L539
AT5G19830	Q6NLS8
AT3G08780	Q8RY09
AT4G32560	Q94CB2
AT1G73930	Q9C9B4
AT3G59000	Q2V3N5
AT3G48070	Q9SU70
AT3G27320	Q9LK21
AT5G60390	P0DH99
AT1G32050	Q9C6X2
AT5G63110	Q9FML2
AT1G76940	A1A6K6
AT2G42240	Q84WY1
AT2G41060	O80678
AT2G39720	O22283
AT2G38680	F4ITW1
AT2G29900	Q9SIK7
AT5G05820	Q6DBP3
AT2G18030	Q9SL43
AT1G10330	Q9SY75
AT3G55140	B3LF89
AT4G05320	Q8H159
AT4G34840	Q7XA67
AT3G63000	Q9LYC2
AT2G03800	Q9ZPQ3
AT1G02740	Q4V3E2
AT5G18940	A0A178UE06
AT4G15010	A0A654FPJ0
AT2G39960	P58684
AT4G31710	O81776
AT3G10920	O81235
AT1G02140	O23676
AT1G25570	F4ICJ5
AT4G24500	Q9SB47
AT1G73840	A0A178W8Y4
AT1G18680	Q9M9T9
AT3G28715	Q9LHA4
AT2G25610	Q9SLA2
AT2G20810	Q9SKT6
AT1G27600	Q9SXC4
AT3G14960	Q9LKA9
AT4G03240	Q9ZR07
AT1G49590	Q7XA66
AT1G63390	Q9SH25
AT4G38170	Q9SZL7
AT2G43260	Q8S8Q9
AT5G66290	Q9FH60
AT5G64600	F4KF16
AT5G64400	Q9FME9
AT5G63820	Q9FN07
AT5G58020	Q6NQ98
AT5G56880	Q9LV38
AT5G54890	Q9FFU1
AT5G51880	Q9LT92
AT5G42960	Q8H0Y1
AT5G21070	A0A178UHS4
AT5G14310	Q8LED9
AT5G13890	Q9FFY4
AT5G07730	Q93XY2
AT3G63270	Q94K49
AT3G59390	F4J8A2
AT3G58630	A0A384LCJ3
AT3G51100	Q9SD36
AT3G12940	A4IJ32
AT3G09860	Q6IDB3
AT3G07530	A0A5S9XA05
AT3G06180	Q9M8K0
AT2G42670	Q9SJI9
AT2G40935	Q8S8T8
AT2G22370	Q9SJZ6
AT2G01410	Q9ZNQ5
AT1G76850	Q8S3U9
AT1G56260	Q6NME7
AT4G33380	Q8VZI6
AT4G18230	Q84R09
AT4G15950	Q6DBA5
AT1G03260	Q6NMJ6
AT2G35100	Q6DBG8
AT4G15960	F4JKY6
AT3G58580	Q9M2F8
AT1G29260	Q9XF57
AT3G02470	Q96286
AT3G20970	Q9LIG6
AT3G20840	Q5YGP8
AT1G13870	Q9LMH0
AT4G09000	P42643
AT2G04550	Q84JU4
AT1G79810	Q9CA86
AT1G10350	Q9SY77
AT2G47330	O22907
AT4G37830	Q9T070
AT1G02410	Q8GWR0
AT5G02380	Q38805
AT1G59520	Q9SLU1
AT1G22920	Q8LAZ7
AT1G71230	Q9FVU9
AT4G24550	Q9SB50
AT1G73440	Q9FDZ8
AT1G02130	P28188
AT5G54680	Q9FH37
AT2G22640	Q94JY4
AT1G03445	Q9LR78
AT3G09740	Q9SF29
AT3G49870	Q8VY57
AT5G09810	P53492
At5g07740	A0A1P8BD84
At5g38730	Q9FKR3
At2g13970	Q9ZPU1
At5g57250	Q9LVD3
At2g41030	Q67ZZ1
